PLAYER,SEASON,FGM,FGA,TPM,TPA,FTM,FTA,FGP,TPP,FTP
Joe Dumars,1998,329,791,158,426,127,154,0.415929204,0.370892019,0.824675325
David Wesley,1998,383,864,59,170,229,288,0.443287037,0.347058824,0.795138889
John Starks,1998,372,946,130,397,185,235,0.393234672,0.327455919,0.787234043
Jayson Williams,1998,321,645,0,4,195,293,0.497674419,0,0.66552901
Anthony Mason,1998,389,764,0,4,261,402,0.509162304,0,0.649253731
Calbert Cheaney,1998,448,981,15,53,139,215,0.45667686,0.283018868,0.646511628
Derek Strong,1998,260,618,0,4,218,279,0.420711974,0,0.781362007
Voshon Lenard,1998,363,854,153,378,141,179,0.425058548,0.404761905,0.787709497
Sam Mitchell,1998,371,800,15,43,243,292,0.46375,0.348837209,0.832191781
Anthony Peeler,1998,190,420,53,125,36,47,0.452380952,0.424,0.765957447
Kenny Anderson,1998,268,674,57,160,153,194,0.397626113,0.35625,0.788659794
Lindsey Hunter,1998,316,826,85,265,145,196,0.382566586,0.320754717,0.739795918
Marcus Camby,1998,308,747,0,2,149,244,0.41231593,0,0.610655738
Horace Grant,1998,393,857,0,7,135,199,0.458576429,0,0.67839196
Brian Grant,1998,283,557,0,1,171,228,0.508078995,0,0.75
John Stockton,1998,270,511,39,91,191,231,0.528375734,0.428571429,0.826839827
Rick Fox,1998,363,771,86,265,171,230,0.470817121,0.324528302,0.743478261
Erick Dampier,1998,352,791,0,2,267,399,0.445006321,0,0.669172932
Dale Ellis,1998,347,700,127,276,111,142,0.495714286,0.460144928,0.781690141
Derek Anderson,1998,239,586,17,84,275,315,0.407849829,0.202380952,0.873015873
Gary Trent,1998,241,505,4,12,144,212,0.477227723,0.333333333,0.679245283
Jason Kidd,1998,357,859,73,233,167,209,0.415599534,0.313304721,0.799043062
Bobby Jackson,1998,310,791,21,81,149,183,0.391908976,0.259259259,0.81420765
Chris Gatling,1998,248,545,1,4,159,265,0.455045872,0.25,0.6
Maurice Taylor,1998,321,675,0,1,173,244,0.475555556,0,0.709016393
Shawn Bradley,1998,300,711,1,3,130,180,0.421940928,0.333333333,0.722222222
Cedric Ceballos,1998,204,415,21,70,107,145,0.491566265,0.3,0.737931034
Matt Geiger,1998,358,709,1,11,168,236,0.50493653,0.090909091,0.711864407
Eric Piatkowski,1998,257,568,106,259,140,170,0.452464789,0.409266409,0.823529412
Chris Mullin,1998,333,692,107,243,154,164,0.481213873,0.440329218,0.93902439
Armen Gilliam,1998,327,676,0,4,267,333,0.483727811,0,0.801801802
Chauncey Billups,1998,280,749,107,325,226,266,0.373831776,0.329230769,0.84962406
Hubert Davis,1998,350,767,101,230,97,116,0.456323338,0.439130435,0.836206897
Tim Thomas,1998,306,684,62,171,171,231,0.447368421,0.362573099,0.74025974
Dennis Scott,1998,329,828,125,342,105,130,0.397342995,0.365497076,0.807692308
Brent Barry,1998,213,506,90,229,115,134,0.420948617,0.3930131,0.858208955
Sam Mack,1998,222,559,110,269,62,77,0.397137746,0.408921933,0.805194805
Blue Edwards,1998,326,742,40,120,180,215,0.4393531,0.333333333,0.837209302
Hersey Hawkins,1998,280,636,125,301,177,204,0.440251572,0.415282392,0.867647059
Billy Owens,1998,338,728,26,70,116,197,0.464285714,0.371428571,0.588832487
Vlade Divac,1998,267,536,3,14,130,188,0.498134328,0.214285714,0.691489362
Bobby Phills,1998,246,552,44,114,106,140,0.445652174,0.385964912,0.757142857
Walt Williams,1998,210,544,80,219,108,125,0.386029412,0.365296804,0.864
Darrick Martin,1998,275,730,107,293,184,217,0.376712329,0.365187713,0.847926267
Avery Johnson,1998,321,671,2,13,122,168,0.478390462,0.153846154,0.726190476
Danny Fortson,1998,276,611,1,3,263,339,0.451718494,0.333333333,0.775811209
Tyrone Corbin,1998,328,747,49,141,101,128,0.439089692,0.34751773,0.7890625
Otis Thorpe,1998,294,624,0,5,164,240,0.471153846,0,0.683333333
Cedric Henderson,1998,348,725,0,4,136,190,0.48,0,0.715789474
Tony Delk,1998,314,798,42,157,111,151,0.393483709,0.267515924,0.735099338
